"threshold","sensitivity","specificity"
0.00106990008059814,0.940298507462687,0.177054794520548
0.00106993715719539,0.940298507462687,0.17716894977169
0.00107005185781121,0.940298507462687,0.177283105022831
0.00107020538152099,0.940298507462687,0.177397260273973
0.00107026802471959,0.940298507462687,0.177511415525114
0.0010702925430873,0.940298507462687,0.177625570776256
0.00107039888704453,0.940298507462687,0.177739726027397
0.00107076641903119,0.940298507462687,0.177853881278539
0.00107110150064469,0.940298507462687,0.17796803652968
0.0010713895950879,0.940298507462687,0.178082191780822
0.00107227144581632,0.940298507462687,0.178196347031963
0.00107294776677318,0.940298507462687,0.178310502283105
0.00107299809156682,0.940298507462687,0.178424657534247
0.00107312331891247,0.940298507462687,0.178538812785388
0.00107351466113626,0.940298507462687,0.17865296803653
0.00107430101413851,0.940298507462687,0.178767123287671
0.0010748581046554,0.940298507462687,0.178881278538813
0.00107518593309387,0.940298507462687,0.178995433789954
0.00107561286028853,0.940298507462687,0.179109589041096
0.00107579919964873,0.940298507462687,0.179223744292237
0.00107608200390806,0.940298507462687,0.179337899543379
0.00107654479626849,0.940298507462687,0.179452054794521
0.00107697493228378,0.940298507462687,0.179566210045662
0.00107721481360412,0.940298507462687,0.179680365296804
0.00107793521637245,0.940298507462687,0.179794520547945
0.00107919328022999,0.940298507462687,0.179908675799087
0.00107992987332319,0.940298507462687,0.180022831050228
0.00108027418042616,0.940298507462687,0.18013698630137
0.00108086364453713,0.940298507462687,0.180251141552511
0.00108142161277702,0.940298507462687,0.180365296803653
0.00108176254786754,0.940298507462687,0.180479452054795
0.00108212272080747,0.940298507462687,0.180593607305936
0.00108247384742905,0.940298507462687,0.180707762557078
0.0010828889790987,0.940298507462687,0.180821917808219
0.0010831776254853,0.940298507462687,0.180936073059361
0.00108339281476905,0.940298507462687,0.181050228310502
0.00108354256031493,0.940298507462687,0.181164383561644
0.00108358839339864,0.940298507462687,0.181278538812785
0.0010838001477814,0.940298507462687,0.181392694063927
0.00108401567648663,0.940298507462687,0.181506849315068
0.0010841025017734,0.940298507462687,0.18162100456621
0.00108434118761125,0.940298507462687,0.181735159817352
0.00108456273058559,0.940298507462687,0.181849315068493
0.0010851890271103,0.940298507462687,0.181963470319635
0.00108609638823298,0.940298507462687,0.182077625570776
0.00108666583890385,0.940298507462687,0.182191780821918
0.0010870313556602,0.940298507462687,0.182305936073059
0.00108719594348739,0.940298507462687,0.182420091324201
0.00108731400505954,0.940298507462687,0.182534246575342
0.00108749102293724,0.940298507462687,0.182648401826484
0.00108780600145959,0.940298507462687,0.182762557077626
0.00108803654277575,0.940298507462687,0.182876712328767
0.00108810488659441,0.940298507462687,0.182990867579909
0.00108818217384956,0.940298507462687,0.183219178082192
0.00108863801167077,0.940298507462687,0.183333333333333
0.00108944704581351,0.940298507462687,0.183447488584475
0.00108996437329638,0.940298507462687,0.183561643835616
0.00109073571469145,0.940298507462687,0.183675799086758
0.00109143339994842,0.940298507462687,0.1837899543379
0.00109157633319741,0.940298507462687,0.183904109589041
0.00109169808797395,0.940298507462687,0.184018264840183
0.00109194333227909,0.940298507462687,0.184132420091324
0.00109233366994719,0.940298507462687,0.184246575342466
0.00109287529446174,0.940298507462687,0.184360730593607
0.00109371247322232,0.940298507462687,0.184474885844749
0.00109455192164842,0.940298507462687,0.18458904109589
0.00109497307530828,0.940298507462687,0.184703196347032
0.00109585048721784,0.940298507462687,0.184817351598174
0.00109683853604227,0.940298507462687,0.184931506849315
0.00109714124661601,0.940298507462687,0.185045662100457
0.00109728092143409,0.940298507462687,0.185159817351598
0.00109735011368931,0.940298507462687,0.18527397260274
0.00109769759421424,0.940298507462687,0.185388127853881
0.00109808419653179,0.940298507462687,0.185502283105023
0.00109894130573471,0.940298507462687,0.185616438356164
0.0010997488060083,0.940298507462687,0.185730593607306
0.00109982338444394,0.940298507462687,0.185844748858447
0.00110011707354508,0.940298507462687,0.185958904109589
0.00110080359440222,0.940298507462687,0.186073059360731
0.00110130006363779,0.940298507462687,0.186187214611872
0.00110166452567991,0.940298507462687,0.186301369863014
0.00110218196052367,0.940298507462687,0.186415525114155
0.00110279666694992,0.940298507462687,0.186529680365297
0.00110330330744624,0.940298507462687,0.186643835616438
0.00110344357684134,0.940298507462687,0.18675799086758
0.00110376509959191,0.940298507462687,0.186872146118721
0.0011045212916548,0.940298507462687,0.186986301369863
0.00110538605964832,0.940298507462687,0.187100456621005
0.00110591356094091,0.940298507462687,0.187214611872146
0.00110623771319083,0.940298507462687,0.187328767123288
0.00110661678178654,0.940298507462687,0.187442922374429
0.00110720042336845,0.940298507462687,0.187557077625571
0.00110783312969113,0.940298507462687,0.187671232876712
0.00110825423095126,0.940298507462687,0.187785388127854
0.0011088446005556,0.940298507462687,0.188127853881279
0.00110927625877424,0.940298507462687,0.18824200913242
0.00110940361013671,0.940298507462687,0.188356164383562
0.00110956273695507,0.940298507462687,0.188584474885845
0.00110974591231467,0.940298507462687,0.188698630136986
0.00110997043598625,0.940298507462687,0.188812785388128
0.00111026199938495,0.940298507462687,0.188926940639269
0.00111056349132189,0.940298507462687,0.189041095890411
0.00111099213214484,0.940298507462687,0.189155251141553
0.00111155195642104,0.940298507462687,0.189269406392694
0.00111212998813536,0.940298507462687,0.189383561643836
0.00111264650594816,0.940298507462687,0.189497716894977
0.00111297820124089,0.940298507462687,0.189611872146119
0.00111320499179848,0.940298507462687,0.18972602739726
0.00111372991586781,0.940298507462687,0.189840182648402
0.00111421852301634,0.940298507462687,0.189954337899543
0.00111544341715848,0.940298507462687,0.190068493150685
